Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,GoalDifference,ShotsEffiency_Home,ShotsEffiency_Away,HomeTeamPoints,AwayTeamPoints,HomeTeamGoalDifference,AwayTeamGoalDifference
2021-22,2021-09-18T15:00:00Z,Liverpool,Crystal Palace,3,0,1,1,0,H,A Madley,25,13,10,2,10,5,17,11,3,1,0,0,3,0.4,0.15384615384615385,7,5,11,-3.0
2021-22,2021-09-18T15:00:00Z,Man City,Southampton,0,0,0,0,0,D,J Moss,18,10,1,2,8,5,5,12,0,2,0,0,0,0.05555555555555555,0.2,7,4,10,-2.0
2021-22,2021-09-18T15:00:00Z,Norwich,Watford,1,3,-1,1,1,D,R Jones,12,12,5,8,4,8,10,14,1,1,0,0,-2,0.4166666666666667,0.6666666666666666,0,3,-12,-2.0
2021-22,2021-09-18T17:30:00Z,Aston Villa,Everton,3,0,1,0,0,D,C Pawson,15,11,3,1,5,4,7,10,1,1,0,0,3,0.2,0.09090909090909091,7,7,1,3.0
2021-22,2021-09-19T14:00:00Z,Brighton,Leicester,2,1,1,1,0,H,S Attwell,12,14,5,3,4,9,8,10,2,1,0,0,1,0.4166666666666667,0.21428571428571427,6,3,3,-3.0
2021-22,2021-09-19T14:00:00Z,West Ham,Man United,1,2,-1,1,1,D,M Atkinson,13,17,4,10,2,11,5,8,0,0,0,0,-1,0.3076923076923077,0.5882352941176471,5,7,4,9.0
2021-22,2021-09-19T16:30:00Z,Tottenham,Chelsea,0,3,-1,0,0,D,P Tierney,8,20,2,10,5,11,4,15,0,1,0,0,-3,0.25,0.5,6,7,-3,11.0
2021-22,2021-09-25T12:30:00Z,Chelsea,Man City,0,1,-1,0,0,D,M Oliver,5,15,0,4,4,13,12,10,3,2,0,0,-1,0.0,0.26666666666666666,7,7,10,11.0
2021-22,2021-09-25T12:30:00Z,Man United,Aston Villa,0,1,-1,0,0,D,M Dean,28,7,4,3,5,5,9,13,2,2,0,0,-1,0.14285714285714285,0.42857142857142855,7,7,8,2.0
2021-22,2021-09-25T15:00:00Z,Everton,Norwich,2,0,1,1,0,H,D Coote,11,10,4,2,6,4,12,9,2,3,0,0,2,0.36363636363636365,0.2,10,0,5,-14.0
2021-22,2021-09-25T15:00:00Z,Leeds,West Ham,1,2,-1,1,0,H,K Friend,15,20,5,7,5,7,10,6,3,2,0,0,-1,0.3333333333333333,0.35,3,5,-8,5.0
2021-22,2021-09-25T15:00:00Z,Leicester,Burnley,2,2,0,1,2,A,C Kavanagh,22,9,5,3,8,4,10,8,2,4,0,0,0,0.22727272727272727,0.3333333333333333,4,2,-3,-6.0
2021-22,2021-09-25T15:00:00Z,Watford,Newcastle,1,1,0,0,1,A,J Gillett,15,20,4,6,5,6,19,12,4,3,0,0,0,0.26666666666666666,0.3,4,3,-2,-7.0
2021-22,2021-09-25T17:30:00Z,Brentford,Liverpool,3,3,0,1,1,D,S Attwell,12,16,4,6,2,11,8,7,1,1,0,0,0,0.3333333333333333,0.375,6,8,3,11.0
2021-22,2021-09-26T14:00:00Z,Southampton,Wolves,0,1,-1,0,0,D,A Madley,18,5,6,3,5,5,12,8,0,0,0,0,-1,0.3333333333333333,0.6,4,0,-3,-2.0
2021-22,2021-09-26T16:30:00Z,Arsenal,Tottenham,3,1,1,3,0,H,C Pawson,12,10,7,4,4,4,12,13,2,1,0,0,2,0.5833333333333334,0.4,6,6,-5,-5.0
